,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,L/P,Ordem L/P,Ordem ROE,Score,PapelF
0,VBBR3,20.93,4.28,1.41,0.143,0.0716,0.543,1.86,4.24,-6.65,6.08,5.52,0.0338,0.0335,2.2,0.16570000000000001,0.3306,168837000.0,16556000000.0,0.95,0.2041,0.2336448598130841,6,6,12,VBBR
1,LEVE3,31.01,5.51,3.79,0.969,0.2482,1.347,5.27,5.19,-98.6,5.79,5.15,0.1867,0.1757,1.68,0.3532,0.6884,13253400.0,1107580000.0,0.82,0.175,0.18148820326678766,22,0,22,LEVE
2,PETR4,36.72,4.35,1.18,0.976,0.1752,0.449,39.63,2.14,-0.97,3.16,2.37,0.4557,0.2256,1.08,0.233,0.2702,1556280000.0,407636000000.0,0.76,0.1989,0.2298850574712644,8,16,24,PETR
3,WIZC3,5.74,5.56,1.77,0.796,0.0429,0.351,14.49,1.6,-1.23,1.57,1.29,0.49700000000000005,0.233,1.11,0.2747,0.3181,2625120.0,519136000.0,0.67,0.1222,0.1798561151079137,24,10,34,WIZC
4,KEPL3,9.0,6.34,2.07,1.031,0.0942,1.151,3.69,5.88,5.58,5.34,4.7,0.1752,0.16260000000000002,1.92,0.2798,0.3272,8849410.0,779763000.0,0.22,0.3222,0.15772870662460567,33,9,42,KEPL
5,SOJA3,14.39,6.19,1.93,0.958,0.057,0.739,2.17,7.39,2.96,7.78,7.31,0.1297,0.1804,1.97,0.16,0.3125,8329480.0,1007310000.0,0.81,0.5145000000000001,0.16155088852988692,31,11,42,SOJA
6,BBAS3,26.61,4.45,0.9,0.0,0.0788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2034,487069000.0,168546000000.0,0.0,0.2877,0.2247191011235955,9,34,43,BBAS
7,PINE4,4.13,4.07,0.8,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1975,860155.0,1079860000.0,0.0,0.5565,0.24570024570024568,4,42,46,PINE
8,CMIG4,10.51,5.45,1.18,0.807,0.0874,0.524,15.36,4.08,-1.75,5.06,4.3,0.19760000000000003,0.1482,1.15,0.1464,0.21719999999999998,132556000.0,25414600000.0,0.46,0.1107,0.18348623853211007,21,25,46,CMIG
9,RANI3,8.37,5.88,1.52,1.278,0.08929999999999999,0.577,2.39,4.95,-1.99,7.45,5.63,0.2579,0.21710000000000002,3.71,0.14730000000000001,0.2584,6281080.0,1320340000.0,1.23,0.1604,0.17006802721088435,29,19,48,RANI
10,VLID3,15.18,4.12,0.81,0.562,0.09380000000000001,0.454,1.32,2.84,4.31,3.12,2.46,0.19760000000000003,0.1346,2.82,0.2182,0.196,5962530.0,1538910000.0,0.46,0.0084,0.24271844660194175,5,43,48,VLID
11,PLPL3,9.45,7.17,3.1,0.884,0.053399999999999996,0.951,1.68,3.2,4.92,3.35,3.25,0.2761,0.1298,2.84,0.40240000000000004,0.4321,7636310.0,623151000.0,0.59,0.284,0.1394700139470014,46,3,49,PLPL
12,POSI3,8.55,4.0,0.74,0.287,0.0489,0.273,0.73,3.05,1.94,4.98,4.36,0.0943,0.0727,1.96,0.12359999999999999,0.184,11476400.0,1648030000.0,0.84,0.2445,0.25,3,49,52,POSI
13,CPFE3,32.63,6.7,1.83,0.938,0.1084,0.498,-24.2,3.3,-1.04,5.25,4.5,0.2847,0.1408,0.92,0.1707,0.2731,63651200.0,20534000000.0,1.35,0.08289999999999999,0.14925373134328357,39,14,53,CPFE
14,POMO3,4.89,6.27,1.56,0.831,0.1005,0.693,2.26,6.17,16.95,7.46,6.38,0.13470000000000001,0.1333,2.08,0.1539,0.2484,1718280.0,3566490000.0,0.74,0.1528,0.1594896331738437,32,22,54,POMO
15,PRIO3,41.33,7.28,2.39,3.0,0.0017000000000000001,1.198,11.68,5.17,-4.29,6.16,4.34,0.5803,0.41200000000000003,1.87,0.2731,0.3289,435486000.0,15396500000.0,0.72,0.6668999999999999,0.13736263736263735,49,8,57,PRIO
