,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,AALR3,10.0,-4.37,1.22,1.011,0.0,0.46,-5.11,47.26,-1.04,78.03,14.21,0.021400000000000002,-0.2236,0.66,0.010700000000000001,-0.27899999999999997,775432.0,969191000.0,0.9,0.0346
1,ABCB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,0.0,6138130000.0,0.0,0.5527000000000001
2,ABCB4,20.93,5.79,0.83,0.0,0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,14561400.0,6138130000.0,0.0,0.5527000000000001
3,ABEV3,11.28,12.26,2.05,2.236,0.0647,1.328,-750.57,10.53,-15.11,9.93,7.29,0.21239999999999998,0.188,0.99,0.16899999999999998,0.1675,364098000.0,86594300000.0,0.04,0.11599999999999999
4,ABYA3,4.91,-214.8,1.76,2.055,0.0,0.527,1.98,19.96,-2.75,33.67,33.67,0.10289999999999999,-0.0096,2.09,0.0278,-0.008199999999999999,0.0,292060000.0,1.31,0.1641
5,ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,0.2352,0.19269999999999998,2.05,0.26899999999999996,0.2595,0.0,3105800000.0,0.09,0.1334
6,ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,0.2352,0.19269999999999998,2.05,0.26899999999999996,0.2595,0.0,3105800000.0,0.09,0.1334
7,ADHM3,1.56,-4.09,-1.29,770.924,0.0,105.126,-1.43,-5.69,-1.27,-5.69,-5.81,-135.485,-188.606,0.0,5.2170000000000005,0.3147,2064.0,-19776000.0,0.0,0.43479999999999996
8,AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,2.04,0.057699999999999994,0.055999999999999994,0.0,2415400000.0,0.3,0.209
9,AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,0.1008,0.0698,2.04,0.057699999999999994,0.055999999999999994,0.0,2415400000.0,0.3,0.209
10,AELP3,1.93,8.49,-200.57,-0.062,0.0,5.216,0.0,-12.58,0.0,-11.94,-11.98,0.0049,-0.0073,0.0,0.0,-23.6383,0.0,-904000.0,0.0,0.0118
11,AERI3,5.21,-2.58,0.29,0.129,0.0,0.093,0.38,1.56,-1.65,5.31,3.94,0.0823,-0.0499,1.64,0.0816,-0.11449999999999999,1787390.0,1097230000.0,1.35,0.0353
12,AESB3,11.43,498.52,1.57,1.981,0.006500000000000001,0.352,-2.71,7.12,-0.6,17.17,8.64,0.2784,0.049100000000000005,0.52,0.0553,0.0031,50305100.0,4394450000.0,2.62,0.1489
13,AESL3,10081.9,0.0,2.26,0.0,0.0,0.632,-54.75,0.0,-1.2,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,5030750000.0,1.55,0.1426
14,AESL4,10081.9,0.0,2.26,0.0,0.0,0.632,-54.75,0.0,-1.2,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,5030750000.0,1.55,0.1426
